country,best_model,cv_mse,gap_low_2080,H-70,H-80,H-90,M-70,M-80,M-90,L-70,L-80,L-90,converges_low70
Malta,Logistic,0.0194,-0.2181,2024,X,X,2024,X,X,2024,2034,X,True
"Macao SAR, China",Logistic,0.1399,-0.0464,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
Cyprus,Sqrt,0.0127,0.0,2024,2037,X,2024,2030,2046,2024,2028,2040,True
Singapore,Linear,0.0014,0.0,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
"Hong Kong SAR, China",Logistic,0.0033,0.0,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
Romania,Logistic,0.0201,0.0,2026,2031,2035,2026,2030,2033,2025,2029,2033,True
Croatia,Logistic,0.0136,-0.4306,X,X,X,X,X,X,2026,X,X,True
Bosnia and Herzegovina,Sqrt,0.075,0.0,2030,2035,2040,2029,2034,2038,2029,2033,2037,True
Turkey,Linear,0.0104,0.0,2032,2035,2039,2031,2034,2037,2030,2034,2036,True
Bulgaria,Logistic,0.0021,0.0,2035,2056,X,2032,2041,2054,2031,2038,2047,True
China,Linear,0.0107,0.0,2034,2036,2038,2034,2035,2037,2033,2035,2036,True
Russian Federation,Logistic,0.0322,0.0,2041,X,X,2035,2047,2069,2033,2042,2053,True
Argentina,Logistic,0.0641,0.0,2037,2043,2049,2035,2040,2045,2034,2039,2043,True
Ecuador,Linear,0.0184,0.0,2036,2039,2042,2035,2038,2040,2035,2037,2040,True
Latvia,Logistic,0.0373,-0.2099,X,X,X,2039,X,X,2035,2057,X,True
Costa Rica,Quadratic,0.0042,0.0,2036,2039,2041,2035,2038,2040,2035,2037,2039,True
Eswatini,Linear,0.0028,0.0,2043,2047,2051,2041,2045,2048,2040,2043,2046,True
Mauritius,Linear,0.0079,0.0,2045,2051,2055,2042,2047,2051,2041,2045,2049,True
Thailand,Linear,0.0043,0.0,2052,2057,2061,2048,2052,2056,2046,2050,2054,True
Malaysia,Linear,0.01,0.0,2052,2057,2061,2049,2053,2056,2047,2051,2054,True
Kenya,Quadratic,0.0102,0.0,2049,2050,2051,2048,2050,2051,2048,2049,2050,True
Guinea,Quadratic,0.0164,0.0,2050,2051,2052,2049,2050,2051,2049,2050,2051,True
Georgia,Logistic,0.0893,0.0,2054,2058,2061,2051,2054,2057,2050,2053,2055,True
Brazil,Linear,0.0089,0.0,2066,2075,X,2057,2064,2070,2053,2059,2065,True
Lao PDR,Linear,0.0148,0.0,2061,2064,2066,2058,2060,2063,2056,2059,2061,True
Sri Lanka,Linear,0.0192,0.0,2068,2073,2077,2063,2067,2070,2060,2064,2067,True
Mongolia,Linear,0.0498,0.0,2070,2074,2077,2065,2068,2072,2062,2066,2069,True
Iraq,Sqrt,0.0423,0.0,2075,X,X,2066,2072,2077,2062,2067,2072,True
Uzbekistan,Logistic,0.0325,0.0,2076,2080,X,2071,2074,2077,2068,2071,2074,True
India,Linear,0.0262,-0.0305,X,X,X,2075,2079,X,2072,2075,2078,True
Rwanda,Logistic,0.0321,-0.1098,X,X,X,2078,X,X,2075,2078,X,True
Paraguay,Linear,0.0292,-0.2974,X,X,X,X,X,X,2078,X,X,True
Philippines,Logistic,0.0353,-0.3179,X,X,X,X,X,X,2079,X,X,True
Indonesia,Logistic,0.0145,-0.3246,X,X,X,X,X,X,2079,X,X,True
Morocco,Linear,0.0044,-0.3358,X,X,X,X,X,X,2080,X,X,True
