country,model,gap_low_2080,H-70,H-80,H-90,M-70,M-80,M-90,L-70,L-80,L-90,converges_low70
"Hong Kong SAR, China",Linear,0.0,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
Malta,Linear,0.0,2024,2024,2030,2024,2024,2029,2024,2024,2028,True
"Macao SAR, China",Linear,0.0,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
Singapore,Linear,0.0,2024,2024,2024,2024,2024,2024,2024,2024,2024,True
Cyprus,Linear,0.0,2024,2024,2030,2024,2024,2029,2024,2024,2028,True
Croatia,Linear,0.0,2024,2024,2032,2024,2024,2030,2024,2024,2029,True
Romania,Linear,0.0,2026,2031,2035,2026,2030,2033,2025,2029,2033,True
Bosnia and Herzegovina,Linear,0.0,2025,2027,2030,2025,2027,2029,2025,2027,2029,True
Latvia,Linear,0.0,2027,2031,2035,2026,2030,2033,2026,2030,2033,True
Bulgaria,Linear,0.0,2028,2033,2037,2028,2032,2036,2027,2031,2035,True
Belarus,Linear,0.0,2028,2032,2036,2027,2031,2034,2027,2031,2034,True
Serbia,Linear,0.0,2033,2043,2051,2031,2038,2045,2030,2036,2042,True
Russian Federation,Linear,0.0,2032,2039,2046,2030,2036,2042,2030,2035,2040,True
Turkey,Linear,0.0,2032,2035,2039,2031,2034,2037,2030,2034,2036,True
China,Linear,0.0,2034,2036,2038,2034,2035,2037,2033,2035,2036,True
Argentina,Linear,0.0,2037,2043,2049,2035,2040,2045,2034,2039,2043,True
Ecuador,Linear,0.0,2036,2039,2042,2035,2038,2040,2035,2037,2040,True
Iraq,Linear,0.0,2040,2042,2044,2039,2041,2043,2038,2040,2042,True
Armenia,Linear,0.0,2041,2044,2047,2039,2042,2045,2038,2041,2044,True
Eswatini,Linear,0.0,2043,2047,2051,2041,2045,2048,2040,2043,2046,True
Mauritius,Linear,0.0,2045,2051,2055,2042,2047,2051,2041,2045,2049,True
Uruguay,Linear,0.0,2052,2062,2072,2045,2053,2060,2042,2049,2055,True
Costa Rica,Linear,0.0,2051,2058,2063,2047,2052,2057,2045,2050,2054,True
Thailand,Linear,0.0,2052,2057,2061,2048,2052,2056,2046,2050,2054,True
Cabo Verde,Linear,0.0,2049,2052,2054,2047,2049,2052,2046,2048,2050,True
Malaysia,Linear,0.0,2052,2057,2061,2049,2053,2056,2047,2051,2054,True
Chile,Linear,0.0,2055,2062,2068,2049,2055,2060,2047,2052,2057,True
Trinidad and Tobago,Linear,0.0,2068,X,X,2055,2065,2073,2050,2058,2066,True
Georgia,Linear,0.0,2054,2058,2061,2051,2054,2057,2050,2053,2055,True
Brazil,Linear,0.0,2066,2075,X,2057,2064,2070,2053,2059,2065,True
Lao PDR,Linear,0.0,2061,2064,2066,2058,2060,2063,2056,2059,2061,True
Sri Lanka,Linear,0.0,2068,2073,2077,2063,2067,2070,2060,2064,2067,True
Mongolia,Linear,0.0,2070,2074,2077,2065,2068,2072,2062,2066,2069,True
Kazakhstan,Linear,-0.0663,X,X,X,2070,2079,X,2063,2071,2078,True
"Iran, Islamic Rep.",Linear,-0.0478,X,X,X,2072,2079,X,2067,2073,2078,True
Uzbekistan,Linear,0.0,2076,2080,X,2071,2074,2077,2068,2071,2074,True
Ukraine,Linear,-0.1513,X,X,X,2076,X,X,2069,2076,X,True
Jordan,Linear,-0.1604,X,X,X,2077,X,X,2069,2077,X,True
India,Linear,-0.0305,X,X,X,2075,2079,X,2072,2075,2078,True
Rwanda,Linear,-0.1095,X,X,X,2078,X,X,2075,2078,X,True
"Egypt, Arab Rep.",Linear,-0.2448,X,X,X,X,X,X,2075,X,X,True
Paraguay,Linear,-0.2974,X,X,X,X,X,X,2078,X,X,True
Indonesia,Linear,-0.3245,X,X,X,X,X,X,2079,X,X,True
Guinea,Linear,-0.2686,X,X,X,X,X,X,2079,X,X,True
Philippines,Linear,-0.3178,X,X,X,X,X,X,2079,X,X,True
Morocco,Linear,-0.3358,X,X,X,X,X,X,2080,X,X,True
Jamaica,Linear,-0.3483,X,X,X,X,X,X,2080,X,X,True
